cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3162500,2,3,1387302,85805,2,49,1,1,1,1,2,1,3,,,,5,7,2,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1347444,89828,1,71,1,1,1,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,724,0,0,0,550130664359233,563253885846914
3162500,2,3,2334257,91020,1,12,3,4,1,1,2,1,1,1,5,7,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333625,93235,1,1,3,4,1,2,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1532610,95301,2,25,1,4,1,1,2,1,3,,,,8,4,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333518,95394,1,30,1,4,2,2,2,1,1,1,13,,,,,2,2,,,0,2,,,800,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334378,95452,2,43,1,4,1,1,2,1,3,,,,4,4,1,1,,2,1,300,1,12,3600,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334102,101638,2,69,1,4,1,1,2,1,3,,,,5,5,2,2,2,,,0,2,,,0,954,0,0,0,550130664359233,563253885846914
3162500,2,3,1486082,102835,2,26,1,4,1,2,2,1,3,,,,12,,,1,,2,1,350,1,12,4200,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1382050,107949,1,60,2,1,1,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1460074,110856,1,60,1,1,1,1,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334162,113583,2,36,1,1,2,2,2,1,3,,,,8,4,1,1,,2,1,1048,1,12,12576,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333558,113752,1,24,1,1,1,1,2,1,1,1,13,,,,,2,2,,,0,2,,,1000,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333568,119532,1,35,10,1,1,2,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333060,120600,1,5,3,1,1,1,2,1,1,1,5,1,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334335,120885,2,6,3,4,2,1,2,2,1,2,5,2,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333825,120913,1,14,3,4,1,1,2,1,1,1,5,8,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1467244,124134,2,12,5,4,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333883,124392,2,62,1,1,1,2,2,1,3,,,,8,1,2,2,2,,,0,2,,,0,954,0,0,0,550130664359233,563253885846914
3162500,2,3,2333939,127450,2,47,7,4,2,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334275,129495,2,5,3,1,1,1,2,2,1,1,5,1,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1543433,132171,1,9,3,4,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1496176,133843,2,11,3,1,1,1,2,1,1,1,5,7,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334303,134870,1,23,1,1,2,2,2,1,1,1,13,,,,,2,2,,,0,2,,,1000,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1381237,139496,1,7,3,4,2,1,1,1,1,1,5,4,,,,,,,,,,,,,954,,0,,550130664359233,563253885846914
3162500,2,3,1338272,140305,1,41,2,1,1,1,2,1,3,,,,5,6,2,1,,2,1,600,1,12,7200,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333754,142952,2,56,1,4,1,2,2,1,3,,,,5,5,2,2,2,,,0,2,,,50,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2332994,148426,2,20,1,1,1,1,2,1,3,,,,5,7,2,1,,2,1,100,1,12,1200,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333816,154392,1,23,3,1,1,1,2,1,3,,,,5,8,1,1,,2,1,300,1,12,3600,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333494,161228,1,16,3,1,1,1,2,1,1,1,10,,,,,2,2,,,0,2,,,0,150,0,0,0,550130664359233,563253885846914
3162500,2,3,2333114,162561,2,22,1,4,1,2,2,1,3,,,,5,7,2,2,2,,,0,2,,,80,0,0,0,0,550130664359233,563253885846914
